,0,1,2
144,ネガ（経験）,気 が 滅入る,-1.0
145,ネガ（経験）,気 に 掛かる,-1.0
146,ネガ（経験）,気 に 障る,-1.0
147,ネガ（経験）,気 に 食わ ない,-1.0
148,ネガ（経験）,気 を もむ,-1.0
149,ネガ（経験）,気 を 悪く する,-1.0
150,ネガ（経験）,気 懸かる,-1.0
151,ネガ（経験）,気 恥ずかしい,-1.0
152,ネガ（経験）,気がかり だ,-1.0
153,ネガ（経験）,気がかり です,-1.0
154,ネガ（経験）,気まずい,-1.0
155,ネガ（経験）,気持ち が 悪い,-1.0
156,ネガ（経験）,気持ち 悪い,-1.0
157,ネガ（経験）,飢える,-1.0
158,ネガ（経験）,偽る,-1.0
159,ネガ（経験）,疑う,-1.0
160,ネガ（経験）,詰まる,-1.0
161,ネガ（経験）,逆らえ ない,-1.0
162,ネガ（経験）,虚しい,-1.0
163,ネガ（経験）,許す こと が でき ない,-1.0
164,ネガ（経験）,許せ ない,-1.0
165,ネガ（経験）,恐る,-1.0
166,ネガ（経験）,恐れる,-1.0
167,ネガ（経験）,狂う,-1.0
168,ネガ（経験）,狂する,-1.0
169,ネガ（経験）,胸 が 騒ぐ,-1.0
170,ネガ（経験）,胸くそ 悪い,-1.0
171,ネガ（経験）,胸苦しい,-1.0
172,ネガ（経験）,胸糞 が 悪い,-1.0
173,ネガ（経験）,胸糞 悪い,-1.0
174,ネガ（経験）,興醒める,-1.0
175,ネガ（経験）,驚愕,-1.0
176,ネガ（経験）,業 を 煮やす,-1.0
177,ネガ（経験）,苦しい,-1.0
178,ネガ（経験）,苦しむ,-1.0
179,ネガ（経験）,苦しめ られる,-1.0
180,ネガ（経験）,苦汁 を なめる,-1.0
181,ネガ（経験）,苦慮,-1.0
182,ネガ（経験）,欠く,-1.0
183,ネガ（経験）,欠ける,-1.0
184,ネガ（経験）,血の気 が 引く,-1.0
185,ネガ（経験）,嫌う,-1.0
186,ネガ（経験）,嫌がる,-1.0
187,ネガ（経験）,肩 を 落とす,-1.0
188,ネガ（経験）,肩身 が 狭い,-1.0
189,ネガ（経験）,見そこなう,-1.0
190,ネガ（経験）,見失う,-1.0
191,ネガ（経験）,見損なう,-1.0
192,ネガ（経験）,見落とす,-1.0
193,ネガ（経験）,遣り 切れ ない,-1.0
194,ネガ（経験）,戸惑う,-1.0
195,ネガ（経験）,枯れる,-1.0
196,ネガ（経験）,後ろ 暗い,-1.0
197,ネガ（経験）,後ろめたい,-1.0
198,ネガ（経験）,後口 が 悪い,-1.0
199,ネガ（経験）,後味 が 悪い,-1.0
200,ネガ（経験）,誤る,-1.0
201,ネガ（経験）,慌てる,-1.0
202,ネガ（経験）,荒れる,-1.0
203,ネガ（経験）,行 詰まる,-1.0
204,ネガ（経験）,行き過ぎる,-1.0
205,ネガ（経験）,行き詰まる,-1.0
206,ネガ（経験）,行き詰る,-1.0
207,ネガ（経験）,行詰る,-1.0
208,ネガ（経験）,降参,-1.0
209,ネガ（経験）,降伏,-1.0
210,ネガ（経験）,降服,-1.0
211,ネガ（経験）,腰 が 砕ける,-1.0
212,ネガ（経験）,骨 の 折れる,-1.0
213,ネガ（経験）,困る,-1.0
214,ネガ（経験）,恨む,-1.0
215,ネガ（経験）,根 に 持つ,-1.0
216,ネガ（経験）,混む,-1.0
217,ネガ（経験）,砕ける,-1.0
218,ネガ（経験）,錆びる,-1.0
219,ネガ（経験）,散らかる,-1.0
220,ネガ（経験）,散る,-1.0
221,ネガ（経験）,刺さる,-1.0
222,ネガ（経験）,死さ れる,-1.0
223,ネガ（経験）,死ぬ,-1.0
224,ネガ（経験）,持て余す,-1.0
225,ネガ（経験）,耳 が 痛い,-1.0
226,ネガ（経験）,自信 が ない,-1.0
227,ネガ（経験）,自制 が きか ない,-1.0
228,ネガ（経験）,自由 が きか ない,-1.0
229,ネガ（経験）,辞める,-1.0
230,ネガ（経験）,失う,-1.0
231,ネガ（経験）,失っ た,-1.0
232,ネガ（経験）,疾しい,-1.0
233,ネガ（経験）,寂しい,-1.0
234,ネガ（経験）,弱る,-1.0
235,ネガ（経験）,取り逃がす,-1.0
236,ネガ（経験）,手 も 足 も 出 ない,-1.0
237,ネガ（経験）,手 を 引く,-1.0
238,ネガ（経験）,手間取る,-1.0
239,ネガ（経験）,腫れる,-1.0
240,ネガ（経験）,首 が まわら ない,-1.0
241,ネガ（経験）,首 を ひねる,-1.0
242,ネガ（経験）,臭う,-1.0
243,ネガ（経験）,縮む,-1.0
244,ネガ（経験）,出来 そこなう,-1.0
245,ネガ（経験）,出来 損なう,-1.0
246,ネガ（経験）,傷つける,-1.0
247,ネガ（経験）,傷む,-1.0
248,ネガ（経験）,傷付ける,-1.0
249,ネガ（経験）,嘗める,-1.0
250,ネガ（経験）,小首 を 傾ける,-1.0
251,ネガ（経験）,小腹 を 立てる,-1.0
252,ネガ（経験）,焦る,-1.0
253,ネガ（経験）,障る,-1.0
254,ネガ（経験）,乗り遅れる,-1.0
255,ネガ（経験）,情ない,-1.0
256,ネガ（経験）,色 を 失う,-1.0
257,ネガ（経験）,侵す,-1.0
258,ネガ（経験）,心外 だ,-1.0
259,ネガ（経験）,心外 です,-1.0
260,ネガ（経験）,心細い,-1.0
261,ネガ（経験）,申し訳 ない,-1.0
262,ネガ（経験）,辛い,-1.0
263,ネガ（経験）,辛め だ,-1.0
264,ネガ（経験）,辛め です,-1.0
265,ネガ（経験）,辛め と,-1.0
266,ネガ（経験）,辛め の,-1.0
267,ネガ（経験）,震える,-1.0
268,ネガ（経験）,衰える,-1.0
269,ネガ（経験）,生き た 心地 も ない,-1.0
270,ネガ（経験）,逝く,-1.0
271,ネガ（経験）,切ない,-1.0
272,ネガ（経験）,折ら れる,-1.0
273,ネガ（経験）,舌 を 巻く,-1.0
274,ネガ（経験）,争う,-1.0
275,ネガ（経験）,遭う,-1.0
276,ネガ（経験）,憎い,-1.0
277,ネガ（経験）,憎たらしい,-1.0
278,ネガ（経験）,損 う,-1.0
279,ネガ（経験）,損なう,-1.0
280,ネガ（経験）,損ねる,-1.0
281,ネガ（経験）,太る,-1.0
282,ネガ（経験）,堕ちる,-1.0
283,ネガ（経験）,妥協,-1.0
284,ネガ（経験）,耐え られ ない,-1.0
285,ネガ（経験）,耐えがたい,-1.0
286,ネガ（経験）,怠る,-1.0
287,ネガ（経験）,退かさ れる,-1.0
288,ネガ（経験）,嘆く,-1.0
289,ネガ（経験）,歎 く,-1.0
290,ネガ（経験）,断た れる,-1.0
291,ネガ（経験）,恥ずかしい,-1.0
292,ネガ（経験）,遅れ を 取る,-1.0
293,ネガ（経験）,遅れる,-1.0
294,ネガ（経験）,虫 が おさまら ない,-1.0
295,ネガ（経験）,懲りる,-1.0
296,ネガ（経験）,懲り懲り だ,-1.0
297,ネガ（経験）,懲り懲り です,-1.0
298,ネガ（経験）,懲り懲り と,-1.0
299,ネガ（経験）,懲り懲り の,-1.0
300,ネガ（経験）,頂け ない,-1.0
301,ネガ（経験）,墜ちる,-1.0
302,ネガ（経験）,痛い,-1.0
303,ネガ（経験）,痛む,-1.0
304,ネガ（経験）,痛める,-1.0
305,ネガ（経験）,潰れる,-1.0
306,ネガ（経験）,諦める,-1.0
307,ネガ（経験）,溺れる,-1.0
308,ネガ（経験）,転ぶ,-1.0
309,ネガ（経験）,吐き出す,-1.0
310,ネガ（経験）,妬む,-1.0
311,ネガ（経験）,途方 に 暮れる,-1.0
312,ネガ（経験）,怒る,-1.0
313,ネガ（経験）,倒れる,-1.0
314,ネガ（経験）,凍える,-1.0
315,ネガ（経験）,悼む,-1.0
316,ネガ（経験）,盗ま れる,-1.0
317,ネガ（経験）,盗む,-1.0
318,ネガ（経験）,当たら れる,-1.0
319,ネガ（経験）,当て られる,-1.0
320,ネガ（経験）,頭 が あがら ない,-1.0
321,ネガ（経験）,頭 が 上がら ない,-1.0
322,ネガ（経験）,頭 に くる,-1.0
323,ネガ（経験）,頭 に 来る,-1.0
324,ネガ（経験）,頭 を かかえる,-1.0
325,ネガ（経験）,頭 を 抱える,-1.0
326,ネガ（経験）,曇る,-1.0
327,ネガ（経験）,悩む,-1.0
328,ネガ（経験）,馬鹿 を 見る,-1.0
329,ネガ（経験）,廃れる,-1.0
330,ネガ（経験）,敗ける,-1.0
331,ネガ（経験）,敗れる,-1.0
332,ネガ（経験）,背く,-1.0
333,ネガ（経験）,曝す,-1.0
334,ネガ（経験）,抜か れる,-1.0
335,ネガ（経験）,叛 く,-1.0
336,ネガ（経験）,犯す,-1.0
337,ネガ（経験）,悲しむ,-1.0
338,ネガ（経験）,疲れ が ある,-1.0
339,ネガ（経験）,疲れる,-1.0
340,ネガ（経験）,被る,-1.0
341,ネガ（経験）,謬 る,-1.0
342,ネガ（経験）,貧する,-1.0
343,ネガ（経験）,不満 が ある,-1.0
344,ネガ（経験）,不満 は ある,-1.0
345,ネガ（経験）,怖 れる,-1.0
346,ネガ（経験）,怖じ 気づく,-1.0
347,ネガ（経験）,怖気付く,-1.0
348,ネガ（経験）,腐る,-1.0
349,ネガ（経験）,負う,-1.0
350,ネガ（経験）,負ける,-1.0
351,ネガ（経験）,侮る,-1.0
352,ネガ（経験）,腹の虫 が おさまら ない,-1.0
353,ネガ（経験）,腹の虫 の 居所 が 悪い,-1.0
354,ネガ（経験）,腹立たしい,-1.0
355,ネガ（経験）,腹立つ,-1.0
356,ネガ（経験）,文句 が ある,-1.0
357,ネガ（経験）,文句 は ある,-1.0
358,ネガ（経験）,聞こえる にくい,-1.0
359,ネガ（経験）,閉まる,-1.0
360,ネガ（経験）,別れる,-1.0
361,ネガ（経験）,偏る,-1.0
362,ネガ（経験）,呆れる,-1.0
363,ネガ（経験）,崩さ れる,-1.0
364,ネガ（経験）,崩す,-1.0
365,ネガ（経験）,崩れる,-1.0
366,ネガ（経験）,飽きる,-1.0
367,ネガ（経験）,亡くす,-1.0
368,ネガ（経験）,亡くする,-1.0
369,ネガ（経験）,亡びる,-1.0
370,ネガ（経験）,妨げる,-1.0
371,ネガ（経験）,忘れる,-1.0
372,ネガ（経験）,冒す,-1.0
373,ネガ（経験）,膨れる,-1.0
374,ネガ（経験）,謀る,-1.0
375,ネガ（経験）,無くす,-1.0
376,ネガ（経験）,迷う,-1.0
377,ネガ（経験）,滅びる,-1.0
378,ネガ（経験）,面目 ない,-1.0
379,ネガ（経験）,面目 無い,-1.0
380,ネガ（経験）,面目次第 も ない,-1.0
381,ネガ（経験）,蒙る,-1.0
382,ネガ（経験）,目 の 前 が 真っ暗 に なる,-1.0
383,ネガ（経験）,薬 が きか ない,-1.0
384,ネガ（経験）,落ち込む,-1.0
385,ネガ（経験）,落とさ れる,-1.0
386,ネガ（経験）,落とし て しまう,-1.0
387,ネガ（経験）,乱れる,-1.0
388,ネガ（経験）,理性 が きか ない,-1.0
389,ネガ（経験）,裂ける,-1.0
390,ネガ（経験）,路頭 に 迷う,-1.0
391,ネガ（経験）,漏らす,-1.0
392,ネガ（経験）,漏れる,-1.0
393,ネガ（経験）,老いる,-1.0
394,ネガ（経験）,歪む,-1.0
395,ネガ（経験）,詫びる,-1.0
396,ネガ（経験）,咎める,-1.0
397,ネガ（経験）,咬ま れる,-1.0
398,ネガ（経験）,毀す,-1.0
399,ネガ（経験）,毀れる,-1.0
400,ネガ（経験）,憑 く,-1.0
401,ネガ（経験）,罹る,-1.0
402,ネガ（経験）,挾ま る,-1.0
403,ネガ（経験）,涸れる,-1.0
404,ネガ（経験）,疵付ける,-1.0
405,ネガ（経験）,縺れる,-1.0
406,ネガ（経験）,茫然 だ,-1.0
407,ネガ（経験）,茫然 です,-1.0
408,ネガ（経験）,茫然 と,-1.0
409,ネガ（経験）,茫然 の,-1.0
410,ネガ（経験）,茫漠 だ,-1.0
411,ネガ（経験）,躊躇う,-1.0
412,ネガ（経験）,躓く,-1.0
413,ネガ（経験）,轢く,-1.0
414,ネガ（経験）,騙す,-1.0
415,ネガ（評価）,,-1.0
416,ネガ（評価）,あいた 口 が ふさがる ない,-1.0
417,ネガ（評価）,あきれる て もの が 言える ない,-1.0
418,ネガ（評価）,あく が 強い,-1.0
419,ネガ（評価）,あくどい,-1.0
420,ネガ（評価）,あざとい,-1.0
421,ネガ（評価）,あと の 祭り だ,-1.0
422,ネガ（評価）,あと の 祭り です,-1.0
423,ネガ（評価）,あと の 祭り と,-1.0
424,ネガ（評価）,あと の 祭り の,-1.0
425,ネガ（評価）,あばずれ だ,-1.0
426,ネガ（評価）,あばずれ です,-1.0
427,ネガ（評価）,あばずれ と,-1.0
428,ネガ（評価）,あばずれ の,-1.0
429,ネガ（評価）,あほらしい,-1.0
430,ネガ（評価）,あやしい,-1.0
431,ネガ（評価）,あやふや だ,-1.0
432,ネガ（評価）,あやふや です,-1.0
433,ネガ（評価）,あらい,-1.0
434,ネガ（評価）,あらっぽい,-1.0
435,ネガ（評価）,あり き たり だ,-1.0
436,ネガ（評価）,あり きたり です,-1.0
437,ネガ（評価）,ありふれる,-1.0
438,ネガ（評価）,ありふれる た,-1.0
439,ネガ（評価）,ある がち だ,-1.0
440,ネガ（評価）,ある がち です,-1.0
441,ネガ（評価）,あわせ にくい,-1.0
442,ネガ（評価）,あんぽんたん だ,-1.0
443,ネガ（評価）,あんぽんたん です,-1.0
444,ネガ（評価）,あんぽんたん と,-1.0
445,ネガ（評価）,あんぽんたん の,-1.0
446,ネガ（評価）,い た しかた ない,-1.0
447,ネガ（評価）,いかがわしい,-1.0
448,ネガ（評価）,いかつい,-1.0
449,ネガ（評価）,いぎたない,-1.0
450,ネガ（評価）,いけ好かない,-1.0
451,ネガ（評価）,いけ図々しい,-1.0
452,ネガ（評価）,いこじ だ,-1.0
453,ネガ（評価）,いこじ です,-1.0
454,ネガ（評価）,いじいじ,-1.0
455,ネガ（評価）,いじける,-1.0
456,ネガ（評価）,いじましい,-1.0
457,ネガ（評価）,いぶかしい,-1.0
458,ネガ（評価）,いまいち,-1.0
459,ネガ（評価）,いまいましい,-1.0
460,ネガ（評価）,いまひとつ,-1.0
461,ネガ（評価）,いまわしい,-1.0
462,ネガ（評価）,いま一つ,-1.0
463,ネガ（評価）,いやがる,-1.0
464,ネガ（評価）,いやしい,-1.0
465,ネガ（評価）,いやらしい,-1.0
466,ネガ（評価）,いろあせる,-1.0
467,ネガ（評価）,いわく つき,-1.0
468,ネガ（評価）,いんちき,-1.0
469,ネガ（評価）,うじうじ,-1.0
470,ネガ（評価）,うす汚い,-1.0
471,ネガ（評価）,うとい,-1.0
472,ネガ（評価）,うど の 大木 だ,-1.0
473,ネガ（評価）,うど の 大木 です,-1.0
474,ネガ（評価）,うど の 大木 と,-1.0
475,ネガ（評価）,うど の 大木 の,-1.0
476,ネガ（評価）,うらめしい,-1.0
477,ネガ（評価）,うら寂しい,-1.0
478,ネガ（評価）,うら悲しい,-1.0
479,ネガ（評価）,えげつない,-1.0
480,ネガ（評価）,おこがましい,-1.0
481,ネガ（評価）,おしい,-1.0
482,ネガ（評価）,おせっかい だ,-1.0
483,ネガ（評価）,おせっかい です,-1.0
484,ネガ（評価）,おせっかい と,-1.0
485,ネガ（評価）,おせっかい の,-1.0
486,ネガ（評価）,おそい,-1.0
487,ネガ（評価）,おそまつ だ,-1.0
488,ネガ（評価）,おそまつ です,-1.0
489,ネガ（評価）,おぞましい,-1.0
490,ネガ（評価）,おためごかし だ,-1.0
491,ネガ（評価）,おためごかし です,-1.0
492,ネガ（評価）,おたんこなす だ,-1.0
493,ネガ（評価）,おたんこなす です,-1.0
494,ネガ（評価）,おたんこなす と,-1.0
495,ネガ（評価）,おたんこなす の,-1.0
496,ネガ（評価）,おっかない,-1.0
497,ネガ（評価）,おっくう だ,-1.0
498,ネガ（評価）,おっくう です,-1.0
499,ネガ（評価）,おっくう と,-1.0
500,ネガ（評価）,おっくう の,-1.0
501,ネガ（評価）,おっさん くさい,-1.0
502,ネガ（評価）,おっちょこちょい だ,-1.0
503,ネガ（評価）,おっちょこちょい です,-1.0
504,ネガ（評価）,おばさん 臭い,-1.0
505,ネガ（評価）,おびやかす,-1.0
506,ネガ（評価）,おもはゆい,-1.0
507,ネガ（評価）,おんぼろ だ,-1.0
508,ネガ（評価）,おんぼろ です,-1.0
509,ネガ（評価）,おんぼろ と,-1.0
510,ネガ（評価）,おんぼろ の,-1.0
511,ネガ（評価）,お山 の 大将 だ,-1.0
512,ネガ（評価）,お山 の 大将 です,-1.0
513,ネガ（評価）,お山 の 大将 と,-1.0
514,ネガ（評価）,お山 の 大将 の,-1.0
515,ネガ（評価）,お節介 だ,-1.0
516,ネガ（評価）,お節介 です,-1.0
517,ネガ（評価）,お節介 と,-1.0
518,ネガ（評価）,お節介 の,-1.0
